Weekly Pay Analysis
---------------------------------------------------------------------------------
Name           ID          Hours Worked            Hourly Rate         Weekly Pay
Bob         12345                 40.00                  12.75             510.00
Sally       23456                 38.75                  14.25             552.19
Joe         34567                 41.25                  12.05             504.59*
Kim         45678                 30.50                  11.50             350.75
Bob         12345                 40.00                  12.75             510.00
Sally       23456                 38.75                  14.25             552.19
Joe         34567                 41.25                  12.05             504.59*
Kim         45678                 30.50                  11.50             350.75
Bob         12345                 40.00                  12.75             510.00
Sally       23456                 38.75                  14.25             552.19
Joe         34567                 41.25                  12.05             504.59*
Kim         45678                 30.50                  11.50             350.75
Bob         12345                 40.00                  12.75             510.00
Sally       23456                 38.75                  14.25             552.19
Joe         34567                 41.25                  12.05             504.59*
Kim         45678                 30.50                  11.50             350.75
Bob         12345                 40.00                  12.75             510.00
Sally       23456                 38.75                  14.25             552.19
Joe         34567                 41.25                  12.05             504.59*
Kim         45678                 30.50                  11.50             350.75
---------------------------------------------------------------------------------
                                      Total Outlay                        9587.66
